timestamp,requests_per_second,cpu_usage_percent,memory_usage_bytes,latency_p95_ms,active_connections,error_rate,hour_of_day,day_of_week
2026-02-28 17:55:42.690999985,,,116264960.0,,,,17,5
2026-02-28 17:56:42.690999985,0.7999999999999999,1.4303075983263573,121790464.0,1.399999999999989,3.0,5075.0,17,5
2026-02-28 17:57:42.690999985,1.0444444444444443,1.2500606797949083,123514880.0,0.4853260869565217,3.0,5308.0,17,5
2026-02-28 17:58:42.690999985,0.9777777777777776,1.137511579134267,122654720.0,0.4846283783783784,3.0,5547.0,17,5
2026-02-28 17:59:42.690999985,1.0666666666666664,1.1853953248203997,119779328.0,0.4841787439613527,3.0,5781.0,17,5
2026-02-28 18:00:42.690999985,0.8888888888888888,1.2323137385197438,115752960.0,0.4822243346007605,3.0,6017.0,18,5
2026-02-28 18:01:42.690999985,1.1555555555555554,1.1991902316888883,116494336.0,0.4782871972318339,3.0,6255.0,18,5
2026-02-28 18:02:42.690999985,0.8222222222222221,1.31160001704182,116936704.0,0.4801258992805755,3.0,6492.0,18,5
2026-02-28 18:03:42.690999985,1.0888888888888888,1.4327583919678792,116006912.0,0.4869175627240142,3.0,6726.0,18,5
2026-02-28 18:04:42.690999985,1.0666666666666664,1.2722317270493704,116563968.0,0.4903225806451612,3.0,6961.0,18,5
2026-02-28 18:05:42.690999985,0.7777777777777777,1.4229244579538867,115499008.0,0.49071691176470583,3.0,7198.0,18,5
2026-02-28 18:06:42.690999985,1.1333333333333333,1.714088663237907,114491392.0,1.8133333333333383,3.0,7431.0,18,5
2026-02-28 18:07:42.690999985,0.9777777777777776,1.44985090546222,114204672.0,1.8749999999999956,3.0,7668.0,18,5
2026-02-28 18:08:42.690999985,0.9555555555555555,1.1586385852144347,112861184.0,0.49812734082397003,3.0,7906.0,18,5
2026-02-28 18:09:42.690999985,1.1333333333333333,1.2863696132476268,114151424.0,0.49634831460674156,3.0,8138.0,18,5
2026-02-28 18:10:42.690999985,1.0888888888888888,1.2447576301864878,116113408.0,1.3466666666666631,3.0,8380.0,18,5
2026-02-28 18:11:42.690999985,1.0444444444444443,1.8557546660670432,114827264.0,0.4883333333333333,3.0,8611.0,18,5
2026-02-28 18:12:42.690999985,1.111111111111111,2.171114552747489,115187712.0,0.4861577181208054,3.0,8843.0,18,5
2026-02-28 18:13:42.690999985,0.9555555555555555,2.2518267821146436,114352128.0,0.49241666666666656,3.0,9076.0,18,5
2026-02-28 18:14:42.690999985,0.9999999999999999,0.9061208673921416,112758784.0,0.49841549295774645,3.0,9308.0,18,5
2026-02-28 18:15:42.690999985,1.1333333333333333,0.9912024859119923,112848896.0,1.9700000000000066,3.0,9540.0,18,5
2026-02-28 18:16:42.690999985,1.0888888888888888,1.0097079057751754,113127424.0,2.700000000000001,3.0,9771.0,18,5
2026-02-28 18:17:42.690999985,0.8222222222222221,0.982348923524494,113623040.0,3.073333333333331,3.0,10006.0,18,5
2026-02-28 18:18:42.690999985,0.8888888888888888,2.3027943047995896,115748864.0,3.3235294117647034,3.0,10239.0,18,5
